gene	mean	median	longest_isoform	merged
ENSG00000214114.9_9	1641	1641	2532	2552
ENSG00000274944.4_13	609	609	609	609
ENSG00000131233.10_9	2091	2091	2281	2439
ENSG00000158315.11_9	1569	1883	2129	2826
ENSG00000199963.1	108	108	108	108
ENSG00000207466.1	101	101	101	101
ENSG00000235549.1_8	350	350	350	350
ENSG00000174574.16_8	1753	1330	2688	2688
ENSG00000168653.11_6	519	519	544	548
ENSG00000127603.32_19	13944	17549	24340	28065
ENSG00000206654.1	104	104	104	104
ENSG00000222378.1_2	133	133	133	133
ENSG00000287422.1_6	1941	1941	1941	1941
ENSG00000226438.1_10	558	558	558	558
ENSG00000217897.2_7	288	288	288	288
ENSG00000183682.8_7	5636	5636	5636	5636
ENSG00000237624.1_5	1535	1535	1535	1535
ENSG00000291129.1_3	1890	1877	2757	3639
ENSG00000243970.6_11	680	680	680	680
ENSG00000090621.15_15	2534	2743	3142	3305
ENSG00000228060.3_11	1316	1316	1316	1316
ENSG00000201457.1	135	135	135	135
ENSG00000163909.8_8	4077	4077	4077	4077
ENSG00000225903.1_8	304	304	304	304
ENSG00000116981.4_7	9068	9068	9068	9068
ENSG00000116983.13_8	4598	4600	4758	4758
ENSG00000084072.17_9	1885	1138	4339	4914
ENSG00000225333.6_9	568	568	568	568
ENSG00000252413.1	62	62	62	62
ENSG00000289711.1_1	286	286	286	286
ENSG00000116985.12_9	4826	4826	4826	4826
ENSG00000198754.5_7	1826	1826	1826	1826
ENSG00000285905.1_4	1218	1218	1218	1218
ENSG00000261798.1_9	1196	1196	1196	1196
ENSG00000229213.1_10	154	154	154	154
ENSG00000284719.3_9	903	878	1098	2616
ENSG00000284678.1_8	673	673	673	673
ENSG00000043514.17_13	2301	2026	5051	5053
ENSG00000202222.1	113	113	113	113
ENSG00000116990.12_14	2874	3158	3522	4851
ENSG00000236546.1_8	785	785	785	785
ENSG00000207356.1	109	109	109	109
ENSG00000168389.18_8	2072	2129	2173	2213
ENSG00000228477.1_9	725	725	725	725
ENSG00000131236.18_13	2579	2627	3105	3126
ENSG00000131238.18_16	2190	2267	2388	2635
ENSG00000226745.2_8	685	685	685	685
ENSG00000117000.9_6	6232	6232	6232	6232
ENSG00000207508.1	107	107	107	107
ENSG00000188800.6_6	696	696	696	696
ENSG00000259943.2_11	1639	1639	1639	1639
ENSG00000084073.10_6	2975	2975	2975	2975
ENSG00000231296.1_8	313	313	313	313
ENSG00000049089.15_14	2852	2852	2852	2852
ENSG00000227311.3_10	480	480	480	480
ENSG00000084070.12_9	2658	2570	2905	3158
ENSG00000213172.3_9	418	418	418	418
ENSG00000290111.1_1	202	202	202	202
ENSG00000284677.1_8	673	673	673	673
ENSG00000187801.15_7	2100	2109	2217	2289
ENSG00000260920.2_10	2449	2449	2449	2449
ENSG00000279667.1_7	1005	1005	1005	1005
ENSG00000187815.10_6	2450	2450	2796	2796
ENSG00000238287.1_11	605	605	605	605
ENSG00000164002.12_11	2013	1895	2567	2574
ENSG00000227278.1_10	432	432	432	432
ENSG00000238186.1_10	546	546	546	546
ENSG00000117010.17_7	1539	1523	2102	2800
ENSG00000286838.1_5	720	720	720	720
ENSG00000236505.1_7	126	126	126	126
ENSG00000233910.1_5	721	721	721	721
ENSG00000117016.10_8	4333	4333	7259	7259
ENSG00000287743.1_3	1672	1672	1672	1672
ENSG00000237899.1_10	471	471	471	471
ENSG00000272145.2_8	1695	1695	1695	1695
ENSG00000066136.21_13	1753	1789	2363	3840
ENSG00000198974.1	92	92	92	92
ENSG00000207962.1	89	89	89	89
ENSG00000117013.17_14	3125	3125	4324	4324
ENSG00000264582.1	294	294	294	294
ENSG00000179862.7_7	1310	1310	1310	1310
ENSG00000229528.1_8	471	471	471	471
ENSG00000228940.1_9	921	921	921	921
ENSG00000286668.1_3	1354	1354	1354	1354
ENSG00000233118.2_7	265	265	265	265
ENSG00000171793.17_15	2630	2438	4790	5941
ENSG00000281207.1_6	4800	4800	4800	4800
ENSG00000171790.16_12	2484	2057	4310	4318
ENSG00000010803.17_15	2979	3241	3370	3961
ENSG00000215893.3_7	499	499	499	499
ENSG00000287400.1_4	4437	4437	4437	4437
ENSG00000235358.2_12	763	709	1066	2064
ENSG00000213987.4_10	313	313	313	313
ENSG00000291157.1_1	1362	1362	1362	1362
ENSG00000286640.3_7	1035	1035	1035	1035
ENSG00000204060.8_12	1320	1320	1479	1576
ENSG00000229901.1_9	394	394	394	394
ENSG00000252563.1_2	92	92	92	92
ENSG00000127129.10_8	1253	1253	1253	1253
ENSG00000127124.16_14	12384	12319	12617	12809
ENSG00000230881.1_8	265	265	265	265
ENSG00000230638.4_9	2242	2242	2242	2242
ENSG00000284895.1_9	81	81	81	81
ENSG00000264896.1	87	87	87	87
ENSG00000287587.1_3	1188	1188	1188	1188
ENSG00000227538.1_5	1133	1133	1133	1133
ENSG00000228776.2_9	454	454	454	454
ENSG00000044012.4_6	604	604	604	604
ENSG00000197273.4_8	597	597	597	597
ENSG00000198815.9_14	5104	5195	5352	6564
ENSG00000227527.2_12	661	661	661	661
ENSG00000177181.15_8	10577	10577	10577	10577
ENSG00000235002.1_7	397	397	397	397
ENSG00000066185.13_8	1530	1530	1530	1530
ENSG00000127125.9_7	1253	975	2269	2810
ENSG00000186409.19_19	2795	2716	6683	10825
ENSG00000230116.1_7	755	755	755	755
ENSG00000236876.3_5	135	135	135	135
ENSG00000200254.1	107	107	107	107
ENSG00000236180.2_9	421	421	421	421
ENSG00000171960.12_9	1308	1004	2315	4208
ENSG00000285728.3_8	1963	1963	2041	3315
ENSG00000234917.2_10	601	601	601	601
ENSG00000065978.19_7	2979	2979	2979	2979
ENSG00000164007.11_11	2648	2841	3517	3602
ENSG00000117385.16_10	2763	2705	2993	3105
ENSG00000164008.17_9	4760	4760	4760	4760
ENSG00000283580.4_11	1008	1008	1008	1008
ENSG00000228452.1_11	484	484	484	484
ENSG00000274386.6_11	3492	3492	3580	3697
ENSG00000177868.12_8	728	728	807	858
ENSG00000164010.15_11	3404	3404	3440	3503
ENSG00000228192.10_13	3131	3131	3131	3131
ENSG00000164011.18_12	1774	1859	1935	1999
ENSG00000233708.1_9	1962	1962	1962	1962
ENSG00000237090.1_9	1326	1326	1326	1326
ENSG00000225099.1_5	681	681	681	681
ENSG00000288955.1_1	1390	1390	1390	1390
ENSG00000117394.24_13	1925	1851	3384	3699
ENSG00000284138.1_7	440	440	440	440
ENSG00000227533.7_11	1476	1535	1758	2047
ENSG00000283973.2_10	690	690	759	1004
ENSG00000207256.1	107	107	107	107
ENSG00000252803.1	89	89	89	89
ENSG00000277513.1_7	412	412	412	412
ENSG00000186973.11_7	518	518	536	681
ENSG00000117395.13_11	1427	1427	1503	1641
ENSG00000243710.8_12	3754	4063	4162	5127
ENSG00000199240.1_2	120	120	120	120
ENSG00000179178.11_9	1823	1823	1850	1892
ENSG00000253313.6_8	1057	1057	1486	1522
ENSG00000066056.14_6	2516	2516	3893	3991
ENSG00000117400.18_13	2760	2760	3633	3633
ENSG00000287113.1_5	557	557	557	557
ENSG00000234694.2_11	679	679	679	679
ENSG00000117399.14_6	1713	1713	1777	1803
ENSG00000066322.15_9	1514	1466	1625	1785
ENSG00000288772.2_2	430	430	430	430
ENSG00000159479.17_8	1545	1483	1968	2037
ENSG00000229431.1_8	731	731	731	731
ENSG00000198198.17_16	9765	13968	14136	14765
ENSG00000229372.1_9	699	699	699	699
ENSG00000178922.18_13	1107	1066	1322	1471
ENSG00000229348.1_6	545	545	545	545
ENSG00000142949.17_13	5075	6377	7720	7837
ENSG00000066135.13_10	4486	4486	4486	4486
ENSG00000284989.1_8	4037	4037	4037	4037
ENSG00000236200.7_11	1200	813	3391	4254
ENSG00000126091.21_19	1689	2074	2487	4947
ENSG00000229444.1_10	469	469	469	469
ENSG00000252201.1	90	90	90	90
ENSG00000233674.2_10	271	271	271	271
ENSG00000224751.2_7	1312	1312	1312	1312
ENSG00000117407.17_16	1064	1003	1943	2507
ENSG00000237950.1	424	486	494	557
ENSG00000117408.11_6	2542	2542	3883	4519
ENSG00000285649.1_6	2044	2044	2044	2044
ENSG00000132768.14_9	2102	2102	2466	2466
ENSG00000117410.14_7	1061	944	1685	1992
ENSG00000117411.18_8	2508	2271	3443	5217
ENSG00000159214.13_7	1472	1472	1472	1472
ENSG00000196517.13_13	2398	2168	3206	4481
ENSG00000230615.8_19	971	791	2644	7915
ENSG00000227163.2_9	520	520	520	520
ENSG00000271647.1_5	1398	1398	1398	1398
ENSG00000239560.2	298	298	298	298
ENSG00000171872.5_6	3160	3160	3160	3160
ENSG00000233514.1_7	360	360	360	360
ENSG00000283039.1_9	3159	3159	3159	3159
ENSG00000226804.4_10	1160	1160	1160	1160
ENSG00000200171.1	96	96	96	96
ENSG00000238037.1_7	274	274	274	274
ENSG00000227994.1_9	214	214	214	214
ENSG00000271329.1_10	796	796	796	796
ENSG00000178028.14_9	1613	1552	1742	1766
ENSG00000117419.16_11	1494	1417	1733	2201
ENSG00000233602.1_9	619	619	619	619
ENSG00000252146.1	74	74	74	74
ENSG00000199385.1	102	102	102	102
ENSG00000187147.19_10	3070	3070	3099	3103
ENSG00000263381.1	60	60	60	60
ENSG00000126106.14_10	1604	1579	2236	3561
ENSG00000198520.12_14	1755	1755	1818	1818
ENSG00000199377.1	117	117	117	117
ENSG00000200169.1	116	116	116	116
ENSG00000142945.13_14	2908	2908	2955	3216
ENSG00000225721.5_10	580	580	580	580
ENSG00000142937.12_6	731	731	778	778
ENSG00000264294.1	80	80	80	80
ENSG00000200913.1	104	104	104	104
ENSG00000202031.1	70	70	70	70
ENSG00000207421.1	67	67	67	67
ENSG00000234093.3_7	385	385	385	385
ENSG00000142959.5_8	2512	2512	2512	2512
ENSG00000173846.13_6	2340	2340	2340	2340
ENSG00000188396.4_7	1112	1112	1355	1355
ENSG00000290041.1_1	567	567	567	567
ENSG00000222009.9_8	2100	2100	2987	2987
ENSG00000117425.14_11	4354	4354	4410	5271
ENSG00000202444.1	115	115	115	115
ENSG00000226499.1_7	162	162	162	162
ENSG00000070785.17_11	1760	1900	1923	2178
ENSG00000266294.1	105	105	105	105
ENSG00000253039.1_2	109	109	109	109
ENSG00000229815.1_5	839	839	839	839
ENSG00000232369.1_6	492	492	492	492
ENSG00000268949.1_7	3130	3130	3130	3130
ENSG00000126107.15_8	3063	3063	3597	3819
ENSG00000126088.14_15	1317	1177	2138	2471
ENSG00000162415.7_9	5868	5868	5868	5868
ENSG00000264650.1	52	52	52	52
ENSG00000234315.1_5	453	453	453	453
ENSG00000221707.2	90	90	90	90
ENSG00000281912.1_4	1710	1710	1710	1710
ENSG00000186603.7_6	1816	1816	1816	1816
ENSG00000132781.21_19	1662	1760	2747	3864
ENSG00000288208.1_8	2768	2768	2768	2768
ENSG00000132773.12_6	1887	1887	1887	1887
ENSG00000070759.17_8	2835	2835	3071	3071
ENSG00000238945.1	97	97	97	97
ENSG00000236872.1_6	325	325	325	325
ENSG00000280670.3_16	1810	1810	2095	2151
ENSG00000132763.15_6	3279	3279	5049	5049
ENSG00000117450.15_10	1045	1094	1296	1682
ENSG00000234379.1_5	598	598	598	598
ENSG00000117448.14_9	1400	1383	1818	2386
ENSG00000281133.1_4	101	101	101	101
ENSG00000280836.1_3	103	103	103	103
ENSG00000289407.1_1	696	696	696	696
ENSG00000132780.17_13	1914	1538	3225	3353
ENSG00000281112.1_4	89	89	89	89
ENSG00000281825.1_3	74	74	74	74
ENSG00000159588.15_12	1634	2216	2245	2245
ENSG00000159592.11_10	3620	3620	3641	3644
ENSG00000225447.1_5	382	382	382	382
ENSG00000234329.1_8	788	788	788	788
ENSG00000159596.7_6	1465	1465	1465	1465
ENSG00000197429.11_10	3117	3117	3117	3117
ENSG00000230896.1_11	598	598	598	598
ENSG00000236111.5_8	681	681	681	681
ENSG00000086015.23_12	5472	5472	5737	5991
ENSG00000232467.2_7	601	601	601	601
ENSG00000117461.15_11	4418	5096	5596	5934
ENSG00000278139.1_13	1553	1553	1553	1553
ENSG00000226957.1_8	649	649	649	649
ENSG00000233114.2_10	226	226	226	226
ENSG00000227857.2_8	339	339	339	339
ENSG00000117472.10_6	1619	1619	1619	1619
ENSG00000250719.2_12	405	405	405	405
ENSG00000085998.15_10	2715	2719	2934	3885
ENSG00000171357.6_6	1849	1849	1849	1849
ENSG00000085999.13_13	2734	2577	3078	3137
ENSG00000132128.18_11	3308	2947	4136	4136
ENSG00000173660.12_6	537	537	537	537
ENSG00000117481.11_8	3433	3867	4347	7455
ENSG00000225779.1_7	370	370	370	370
ENSG00000117480.16_6	2042	2042	2042	2042
ENSG00000232022.10_10	1238	1238	1238	1238
ENSG00000291138.1_1	707	726	777	1915
ENSG00000224863.3_10	1401	1401	1401	1401
ENSG00000197587.12_10	5050	5050	5050	5050
ENSG00000282881.3_12	1877	1877	2122	2270
ENSG00000269956.2_9	2445	2445	2445	2445
ENSG00000162456.10_8	1752	1752	2896	2896
ENSG00000079277.22_19	2040	2612	2809	3007
ENSG00000142961.16_10	3754	2800	5725	5832
ENSG00000123472.13_16	2616	2654	4158	4367
ENSG00000233647.2_7	466	466	466	466
ENSG00000186118.9_7	681	637	840	840
ENSG00000228237.5_7	491	491	491	491
ENSG00000159658.15_14	4798	5641	5817	7118
ENSG00000236476.2_9	805	805	805	805
ENSG00000142973.16_12	1946	2171	2174	2174
ENSG00000290456.1_3	1436	1436	1436	1436
ENSG00000154198.15_10	1512	1512	1512	1512
ENSG00000238145.2_9	1192	1192	1192	1192
ENSG00000187048.14_12	2010	1775	2530	2912
ENSG00000259832.1_5	196	196	196	196
ENSG00000261196.1_5	121	121	121	121
ENSG00000261593.1_5	190	190	190	190
ENSG00000261290.1_5	154	154	154	154
ENSG00000186377.8_6	2256	2256	2256	2256
ENSG00000186160.5_6	2162	2162	2162	2162
ENSG00000225154.2_9	1202	1202	1202	1202
ENSG00000225506.2_10	921	921	921	921
ENSG00000162365.13_10	2097	2065	2535	3836
ENSG00000225514.1_7	671	671	671	671
ENSG00000224805.2_9	661	661	661	661
ENSG00000290081.1_1	904	904	904	904
ENSG00000162366.8_8	804	804	838	1183
ENSG00000162367.12_9	4761	4642	5001	5121
ENSG00000226252.1_8	4036	4036	4036	4036
ENSG00000123473.17_14	4754	4788	5351	5735
ENSG00000162368.15_7	1764	1307	2937	4101
ENSG00000225762.1_10	483	483	483	483
ENSG00000186790.6_6	1768	1768	1768	1768
ENSG00000237424.1_8	2509	2509	2509	2509
ENSG00000186564.6_4	2648	2648	2648	2648
ENSG00000271355.1_7	465	465	465	465
ENSG00000229554.2_7	448	448	448	448
ENSG00000221346.1	136	136	136	136
ENSG00000227883.1_5	242	242	242	242
ENSG00000221447.1	85	85	85	85
ENSG00000227947.2_8	1461	1461	1461	1461
ENSG00000269113.4_9	7524	7524	7524	7524
ENSG00000223814.1_11	407	407	407	407
ENSG00000273395.1	312	312	312	312
ENSG00000225028.1_8	1807	1807	1807	1807
ENSG00000226133.6_11	766	766	789	1349
ENSG00000231413.1_11	292	292	292	292
ENSG00000237180.1_5	267	267	267	267
ENSG00000290466.1_1	592	592	645	1144
ENSG00000279096.2_7	2669	2669	2669	2669
ENSG00000269709.1	573	573	573	573
ENSG00000242267.7_9	817	817	817	817
ENSG00000291246.1_1	749	749	749	749
ENSG00000223720.2_10	651	651	651	651
ENSG00000117834.13_11	2884	3162	3272	3274
ENSG00000272491.1_8	1674	1674	1674	1674
ENSG00000279214.1_7	950	950	950	950
ENSG00000132122.12_14	4088	4964	5003	5007
ENSG00000224986.2_7	1044	1044	1044	1044
ENSG00000206700.1	107	107	107	107
ENSG00000235105.1_7	1257	1257	1257	1257
ENSG00000223175.1	107	107	107	107
ENSG00000232514.1_8	474	474	474	474
ENSG00000186094.18_13	1932	1454	2989	3990
ENSG00000287661.1_3	1861	1861	1861	1861
ENSG00000162373.13_9	1693	1693	1693	1693
ENSG00000286597.1_3	573	573	573	573
ENSG00000229846.2_10	793	793	793	793
ENSG00000239144.1	112	112	112	112
ENSG00000230114.1_8	566	566	566	566
ENSG00000225623.1_9	514	514	514	514
ENSG00000237478.2_9	262	262	262	262
ENSG00000215887.5_7	1966	1966	1966	1966
ENSG00000221746.1	81	81	81	81
ENSG00000227839.1	1885	1885	1885	1885
ENSG00000279324.1_7	1901	1901	1901	1901
ENSG00000233595.2_7	412	412	412	412
ENSG00000162374.18_18	2596	2235	3999	6971
ENSG00000230828.1_7	346	346	346	346
ENSG00000237337.1_9	858	858	858	858
ENSG00000233407.1_10	250	250	250	250
ENSG00000284696.2_9	765	636	1706	3302
ENSG00000284645.1_7	3304	3304	3304	3304
ENSG00000234080.3_7	877	877	877	877
ENSG00000229316.1_7	653	653	653	653
ENSG00000225671.2_7	595	595	595	595
ENSG00000142700.12_8	2960	2960	3080	3168
ENSG00000284700.2_1	930	930	930	930
ENSG00000271782.1	279	279	279	279
ENSG00000185104.21_10	6821	6821	6821	6821
ENSG00000225767.1_8	503	503	503	503
ENSG00000202140.1	100	100	100	100
ENSG00000207194.1	108	108	108	108
ENSG00000252825.1	58	58	58	58
ENSG00000230585.2_8	811	811	811	811
ENSG00000237130.1_5	370	370	370	370
ENSG00000123080.12_8	1991	2076	2904	3018
ENSG00000290102.1_1	670	670	670	670
ENSG00000265538.1	69	69	69	69
ENSG00000204006.11_11	774	747	921	1017
ENSG00000200262.1	110	110	110	110
ENSG00000213478.2_5	684	684	684	684
ENSG00000239101.1	89	89	89	89
ENSG00000221492.1	76	76	76	76
ENSG00000203356.2_8	2366	2366	2366	2366
ENSG00000238618.1	104	104	104	104
ENSG00000123091.5_6	3074	3074	3074	3074
ENSG00000233406.5_9	870	870	870	870
ENSG00000236434.2_11	435	435	435	435
ENSG00000085831.16_17	2746	2712	6287	9193
ENSG00000261664.5_7	683	683	812	1222
ENSG00000085832.18_14	4829	4896	5357	5695
ENSG00000232027.2_9	955	955	955	955
ENSG00000206595.1	107	107	107	107
ENSG00000238140.1_9	678	678	678	678
ENSG00000227070.2_9	518	518	518	518
ENSG00000252032.1	105	105	105	105
ENSG00000227742.2_9	946	946	946	946
ENSG00000117859.19_17	2876	2798	3660	4527
ENSG00000236973.2_7	1000	1000	1000	1000
ENSG00000232846.1_5	879	879	879	879
ENSG00000212624.1	122	122	122	122
ENSG00000078618.23_13	3635	3594	3895	3953
ENSG00000266993.3_17	1290	1290	1290	1290
ENSG00000272175.1_9	280	280	280	280
ENSG00000212076.1	70	70	70	70
ENSG00000230604.2_7	358	358	358	358
ENSG00000212174.1	77	77	77	77
ENSG00000265769.1	52	52	52	52
ENSG00000169213.7_8	12780	12780	12780	12780
ENSG00000200839.1_2	126	126	126	126
ENSG00000229032.1_7	342	342	342	342
ENSG00000264613.1	298	298	298	298
ENSG00000117862.13_9	1218	1218	1416	2183
ENSG00000285839.1_8	1986	1986	1986	1986
ENSG00000198841.4_8	1708	1708	1708	1708
ENSG00000223390.1_8	762	762	762	762
ENSG00000228369.2_9	391	391	391	391
ENSG00000134717.18_7	2106	1550	4533	4996
ENSG00000157077.16_8	5652	5148	7243	7366
ENSG00000241745.2	313	313	313	313
ENSG00000228407.2_9	340	340	340	340
ENSG00000223429.1_7	841	841	841	841
ENSG00000224255.2_7	706	706	706	706
ENSG00000236004.2_9	394	394	394	394
ENSG00000237663.2_8	344	344	344	344
ENSG00000213735.2_5	556	556	556	556
ENSG00000154222.15_12	5490	5490	5642	5654
ENSG00000272100.1_8	391	391	391	391
ENSG00000287078.1_3	939	939	939	939
ENSG00000224680.4_7	568	568	568	568
ENSG00000085840.13_10	3100	3100	3121	3121
ENSG00000134748.13_6	5233	5233	5233	5233
ENSG00000134744.14_19	4621	5853	5858	6974
ENSG00000239063.1	81	81	81	81
ENSG00000272371.1_8	456	456	456	456
ENSG00000236290.1_5	703	703	703	703
ENSG00000116157.6_6	1229	1229	1229	1229
ENSG00000182183.15_7	924	924	924	924
ENSG00000162377.6_10	3988	3988	3988	3988
ENSG00000233664.1_5	321	321	321	321
ENSG00000239640.2	295	295	295	295
ENSG00000162378.13_6	5218	5218	8143	8206
ENSG00000252018.1	141	141	141	141
ENSG00000228929.1_5	455	455	455	455
ENSG00000206627.1	105	105	105	105
ENSG00000203995.11_10	4193	4193	4445	4694
ENSG00000242391.2_11	380	380	380	380
ENSG00000121310.17_9	1376	1446	1556	1590
ENSG00000230953.2_9	175	175	175	175
ENSG00000231866.2_9	175	175	175	175
ENSG00000116171.19_14	1982	1896	3926	6405
ENSG00000264834.1	99	99	99	99
ENSG00000266188.1	88	88	88	88
ENSG00000265815.1	100	100	100	100
ENSG00000237279.2_9	395	395	395	395
ENSG00000236360.2_7	502	502	502	502
ENSG00000226147.1_5	1301	1301	1301	1301
ENSG00000174348.14_12	2867	3065	3248	3416
ENSG00000232993.1_11	467	467	467	467
ENSG00000227644.2_7	280	280	280	280
ENSG00000162383.13_12	2238	2474	2698	3605
ENSG00000235563.1_8	1871	1871	1871	1871
ENSG00000277397.1_7	718	718	718	718
ENSG00000157184.7_7	2324	2671	2746	2817
ENSG00000236723.2_15	524	524	524	524
ENSG00000162384.14_8	1102	1102	1102	1102
ENSG00000259818.1_8	3591	3591	3591	3591
ENSG00000162385.11_8	578	578	656	656
ENSG00000226754.3_14	1649	1649	1649	1649
ENSG00000270172.1	2177	2177	2177	2177
ENSG00000157193.18_19	3820	3477	7704	8965
ENSG00000234578.1_8	470	470	470	470
ENSG00000228838.1_8	675	675	675	675
ENSG00000232762.1_8	752	752	752	752
ENSG00000225675.2_9	567	567	567	567
ENSG00000285954.1_5	886	886	886	886
ENSG00000226938.1_10	383	383	383	383
ENSG00000230138.2_11	811	811	811	811
ENSG00000236253.7_8	772	925	931	1437
ENSG00000288527.1_3	79	79	79	79
ENSG00000143006.7_4	1910	1910	1910	1910
ENSG00000174332.6_11	2841	2841	2870	3173
ENSG00000239007.1	64	64	64	64
ENSG00000058804.12_8	4552	4552	4552	4552
ENSG00000201003.1	136	136	136	136
ENSG00000264454.1	70	70	70	70
ENSG00000229687.2_10	286	286	286	286
ENSG00000058799.15_8	1662	1662	1821	1821
ENSG00000211452.12_11	952	616	1861	1861
ENSG00000081870.12_9	776	762	894	2144
ENSG00000116212.15_7	1745	1745	1764	1764
ENSG00000219102.3_7	1063	1063	1063	1063
ENSG00000203985.11_10	1867	2220	2376	2376
ENSG00000116209.12_11	2511	1911	6457	8870
ENSG00000272091.1	1817	1817	1817	1817
ENSG00000280378.1_3	1755	1755	1755	1755
ENSG00000116205.14_8	4382	1783	10429	10676
ENSG00000264208.1	76	76	76	76
ENSG00000225183.1_8	238	238	238	238
ENSG00000279049.1_2	257	257	257	257
ENSG00000256407.2_15	2542	2542	2542	2542
ENSG00000157211.12_11	2352	2352	2723	3510
ENSG00000280425.2_11	4969	4969	4969	4969
ENSG00000215883.11_11	4216	5777	6193	6390
ENSG00000248835.2	2665	2665	2665	2665
ENSG00000116221.15_5	1414	1483	1582	1823
ENSG00000157216.17_12	2980	2942	3252	3308
ENSG00000198711.5_8	2624	2624	2624	2624
ENSG00000225632.2_9	1112	1112	1112	1112
ENSG00000232245.1_8	289	289	289	289
ENSG00000265404.1	103	103	103	103
ENSG00000287582.1_4	1051	1051	1051	1051
ENSG00000235741.1_10	683	683	683	683
ENSG00000237173.1_8	108	108	108	108
ENSG00000252646.1	68	68	68	68
ENSG00000227453.1_5	963	963	963	963
ENSG00000162390.18_6	4726	4726	6369	7742
ENSG00000162391.12_10	1709	1709	1975	2006
ENSG00000230728.1_11	623	623	623	623
ENSG00000184313.20_14	3548	3436	4343	4568
ENSG00000271723.5_6	5867	5867	5867	5867
ENSG00000243725.7_7	2356	2356	2356	2356
ENSG00000162396.6_8	2356	2356	2356	2356
ENSG00000006555.11_13	2775	2775	3401	4495
ENSG00000237453.1_10	343	343	343	343
ENSG00000162398.12_10	1733	1733	1777	1777
ENSG00000116133.13_13	3495	4225	4233	4269
ENSG00000287724.1_3	831	831	831	831
ENSG00000242396.2_9	1135	1135	1135	1135
ENSG00000233203.6_8	477	477	515	680
ENSG00000284601.1_9	1595	1595	1595	1595
ENSG00000143001.5_6	1256	1256	1256	1256
ENSG00000233271.1_10	428	428	428	428
ENSG00000162399.9_9	9761	9761	9761	9761
ENSG00000169174.12_10	3520	3637	3729	3838
ENSG00000162402.15_11	9544	9544	10800	11037
ENSG00000231090.2_10	1320	1320	2002	2568
ENSG00000231095.1_5	994	994	994	994
ENSG00000265822.1	83	83	83	83
ENSG00000234810.4_10	1494	1126	4063	7161
ENSG00000231900.3_7	1309	1309	1309	1309
ENSG00000232198.2_7	607	607	607	607
ENSG00000199831.1	327	327	327	327
ENSG00000252162.1	107	107	107	107
ENSG00000272051.1	102	102	102	102
ENSG00000233079.3_8	3146	3146	3146	3146
ENSG00000230250.3_10	702	702	702	702
ENSG00000227104.3_8	430	430	430	430
ENSG00000235612.1_10	731	731	731	731
ENSG00000260971.4_11	1176	1148	1860	5770
ENSG00000284686.1_13	1675	1675	1675	1675
ENSG00000229871.1_7	890	890	890	890
ENSG00000223307.2	86	86	86	86
ENSG00000223956.5_10	905	741	1568	2113
ENSG00000162407.9_9	3273	3273	3273	3273
ENSG00000236776.1_5	460	460	460	460
ENSG00000224980.1_8	433	433	433	433
ENSG00000225475.1_9	141	141	141	141
ENSG00000162409.12_8	9355	9355	9355	9355
ENSG00000187889.13_11	3183	3183	3183	3183
ENSG00000229913.1_11	1824	1824	1824	1824
ENSG00000157131.12_9	2240	2244	2396	2400
ENSG00000021852.14_13	2060	2040	2230	2233
ENSG00000236341.1_9	610	610	610	610
ENSG00000221591.1	83	83	83	83
ENSG00000173406.16_12	3047	1817	5301	5691
ENSG00000227935.1_8	708	708	708	708
ENSG00000236888.1_5	360	360	360	360
ENSG00000238773.1	93	93	93	93
ENSG00000226759.8_16	888	748	1262	2237
ENSG00000290536.1_1	1447	1447	1447	1447
ENSG00000229887.5_6	1117	1117	1117	1117
ENSG00000223416.3_5	348	348	348	348
ENSG00000235038.1_8	620	620	620	620
ENSG00000230546.1_7	141	141	141	141
ENSG00000233216.1_7	322	322	322	322
ENSG00000162600.12_9	1861	1861	1861	1861
ENSG00000286918.1_3	1791	1791	1791	1791
ENSG00000270209.1_7	421	421	421	421
ENSG00000264128.1	304	304	304	304
ENSG00000184292.7_7	1820	1820	1820	1820
ENSG00000185839.3_7	690	690	690	690
ENSG00000162601.12_14	6614	7657	7751	9867
ENSG00000283445.1_8	2463	2463	2708	4739
ENSG00000222168.1	94	94	94	94
ENSG00000264081.1	87	87	87	87
ENSG00000177606.9_9	3257	3257	3257	3257
ENSG00000290013.1_1	666	666	666	666
ENSG00000234807.8_10	1627	2024	2518	5352
ENSG00000272226.1_8	535	535	535	535
ENSG00000231740.1_10	395	395	395	395
ENSG00000232453.7_12	1383	1383	1383	1383
ENSG00000237352.6_11	1311	1114	2575	6089
ENSG00000228121.1_6	819	819	819	819
ENSG00000241042.1_11	171	171	171	171
ENSG00000235215.2_11	317	317	317	317
ENSG00000224609.8_18	1704	1253	2841	6482
ENSG00000270457.1_8	338	338	338	338
ENSG00000172456.18_9	1651	1756	2052	2188
ENSG00000266150.1	70	70	70	70
ENSG00000226883.1_10	767	767	767	767
ENSG00000134709.13_9	3962	3962	5713	5713
ENSG00000134716.11_9	1879	1879	1879	1879
ENSG00000265535.1	296	296	296	296
ENSG00000162598.13_12	1667	1667	2028	2028
ENSG00000229332.2_7	562	562	562	562
ENSG00000238242.2_10	1160	1160	1160	1160
ENSG00000226476.7_12	2665	2143	6038	11804
ENSG00000231252.4_12	2097	2097	2183	3490
ENSG00000162599.18_10	2902	2529	9229	12910
ENSG00000237928.6_10	2765	2765	4256	4992
ENSG00000263380.1	76	76	76	76
